datetime,open,high,low,close,volume
2026-07-30T05:34:00.000000,58.478,58.491,58.456,58.487,108.0
2026-07-30T05:35:00.000000,58.49,58.495,58.434,58.458,158.0
2026-07-30T05:36:00.000000,58.457,58.48,58.428,58.458,149.0
2026-07-30T05:37:00.000000,58.457,58.48,58.433,58.437,131.0
2026-07-30T05:38:00.000000,58.44,58.457,58.429,58.448,164.0
2026-07-30T05:39:00.000000,58.442,58.444,58.408,58.425,176.0
2026-07-30T05:40:00.000000,58.426,58.429,58.324,58.324,134.0
2026-07-30T05:41:00.000000,58.325,58.346,58.28,58.343,161.0
2026-07-30T05:42:00.000000,58.342,58.343,58.291,58.301,140.0
2026-07-30T05:43:00.000000,58.302,58.309,58.269,58.277,152.0
2026-07-30T05:44:00.000000,58.275,58.276,58.222,58.239,163.0
2026-07-30T05:45:00.000000,58.242,58.254,58.168,58.188,113.0
2026-07-30T05:46:00.000000,58.187,58.192,58.147,58.161,134.0
2026-07-30T05:47:00.000000,58.16,58.179,58.151,58.179,69.0
2026-07-30T05:48:00.000000,58.178,58.187,58.152,58.181,185.0
2026-07-30T05:49:00.000000,58.178,58.203,58.159,58.199,166.0
2026-07-30T05:50:00.000000,58.198,58.238,58.197,58.217,124.0
2026-07-30T05:51:00.000000,58.215,58.223,58.197,58.209,127.0
2026-07-30T05:52:00.000000,58.211,58.237,58.187,58.191,103.0
2026-07-30T05:53:00.000000,58.193,58.198,58.16,58.194,90.0
2026-07-30T05:54:00.000000,58.195,58.24,58.179,58.23,155.0
2026-07-30T05:55:00.000000,58.228,58.265,58.186,58.186,129.0
2026-07-30T05:56:00.000000,58.182,58.189,58.158,58.162,112.0
2026-07-30T05:57:00.000000,58.164,58.186,58.159,58.184,78.0
2026-07-30T05:58:00.000000,58.185,58.209,58.175,58.194,117.0
2026-07-30T05:59:00.000000,58.193,58.239,58.179,58.218,123.0
2026-07-30T06:00:00.000000,58.227,58.232,58.119,58.164,261.0
2026-07-30T06:01:00.000000,58.155,58.181,58.073,58.078,204.0
2026-07-30T06:02:00.000000,58.074,58.092,57.932,57.937,238.0
2026-07-30T06:03:00.000000,57.947,57.957,57.861,57.871,256.0
2026-07-30T06:04:00.000000,57.872,57.93,57.847,57.906,192.0
2026-07-30T06:05:00.000000,57.909,57.954,57.89,57.951,172.0
2026-07-30T06:06:00.000000,57.952,57.978,57.92,57.974,156.0
2026-07-30T06:07:00.000000,57.973,57.98,57.89,57.905,183.0
2026-07-30T06:08:00.000000,57.904,57.915,57.774,57.826,248.0
2026-07-30T06:09:00.000000,57.83,57.878,57.807,57.872,193.0
2026-07-30T06:10:00.000000,57.874,57.958,57.868,57.958,147.0
2026-07-30T06:11:00.000000,57.957,57.957,57.8,57.823,170.0
2026-07-30T06:12:00.000000,57.824,57.824,57.746,57.783,185.0
2026-07-30T06:13:00.000000,57.776,57.824,57.732,57.82,183.0
2026-07-30T06:14:00.000000,57.824,57.855,57.813,57.854,154.0
2026-07-30T06:15:00.000000,57.84,57.877,57.834,57.866,182.0
2026-07-30T06:16:00.000000,57.861,57.886,57.83,57.883,160.0
2026-07-30T06:17:00.000000,57.88,57.91,57.866,57.89,176.0
2026-07-30T06:18:00.000000,57.888,57.915,57.865,57.882,164.0
2026-07-30T06:19:00.000000,57.88,57.899,57.829,57.868,163.0
2026-07-30T06:20:00.000000,57.87,57.87,57.793,57.841,188.0
2026-07-30T06:21:00.000000,57.845,57.945,57.845,57.915,190.0
2026-07-30T06:22:00.000000,57.916,57.916,57.867,57.899,154.0
2026-07-30T06:23:00.000000,57.897,57.918,57.882,57.914,170.0
2026-07-30T06:24:00.000000,57.915,57.915,57.838,57.875,201.0
