datetime,open,high,low,close,volume
2026-08-01T16:34:00.000000,1.0644,1.0646,1.0644,1.0646,2.0
2026-08-01T16:35:00.000000,1.0646,1.0646,1.0645,1.0645,2.0
2026-08-01T16:36:00.000000,1.0645,1.0645,1.0643,1.0643,2.0
2026-08-01T16:37:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T16:38:00.000000,1.0643,1.0647,1.0643,1.0646,5.0
2026-08-01T16:39:00.000000,1.0646,1.0646,1.0645,1.0645,2.0
2026-08-01T16:40:00.000000,1.0645,1.0646,1.0645,1.0646,2.0
2026-08-01T16:41:00.000000,1.0646,1.0647,1.0646,1.0647,2.0
2026-08-01T16:42:00.000000,1.0647,1.0647,1.0645,1.0645,3.0
2026-08-01T16:43:00.000000,1.0645,1.0645,1.0645,1.0645,1.0
2026-08-01T16:44:00.000000,1.0645,1.0645,1.0645,1.0645,1.0
2026-08-01T16:45:00.000000,1.0645,1.0645,1.0641,1.0641,4.0
2026-08-01T16:46:00.000000,1.0641,1.0642,1.0641,1.0642,2.0
2026-08-01T16:47:00.000000,1.0642,1.0643,1.0642,1.0643,2.0
2026-08-01T16:48:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T16:49:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T16:50:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T16:51:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T16:52:00.000000,1.0643,1.0643,1.0642,1.0642,2.0
2026-08-01T16:53:00.000000,1.0642,1.0642,1.0642,1.0642,1.0
2026-08-01T16:54:00.000000,1.0642,1.0642,1.0642,1.0642,1.0
2026-08-01T16:55:00.000000,1.0642,1.0642,1.0641,1.0641,2.0
2026-08-01T16:56:00.000000,1.0641,1.0641,1.0641,1.0641,1.0
2026-08-01T16:57:00.000000,1.0641,1.0641,1.0641,1.0641,1.0
2026-08-01T16:58:00.000000,1.0641,1.0641,1.064,1.064,2.0
2026-08-01T16:59:00.000000,1.064,1.064,1.064,1.064,1.0
2026-08-01T17:00:00.000000,1.064,1.0643,1.064,1.0643,3.0
2026-08-01T17:01:00.000000,1.0643,1.0643,1.0643,1.0643,1.0
2026-08-01T17:02:00.000000,1.0643,1.0644,1.0643,1.0644,2.0
2026-08-01T17:03:00.000000,1.0644,1.0644,1.0644,1.0644,1.0
2026-08-01T17:04:00.000000,1.0644,1.0644,1.0644,1.0644,1.0
2026-08-01T17:05:00.000000,1.0644,1.0644,1.0644,1.0644,1.0
2026-08-01T17:06:00.000000,1.0644,1.0645,1.0644,1.0645,2.0
2026-08-01T17:07:00.000000,1.0645,1.0648,1.0645,1.0648,4.0
2026-08-01T17:08:00.000000,1.0648,1.0648,1.0645,1.0645,3.0
2026-08-01T17:09:00.000000,1.0645,1.0645,1.0642,1.0642,4.0
2026-08-01T17:10:00.000000,1.0642,1.0642,1.0642,1.0642,1.0
2026-08-01T17:11:00.000000,1.0642,1.0642,1.0642,1.0642,1.0
2026-08-01T17:12:00.000000,1.0642,1.0642,1.0641,1.0641,2.0
2026-08-01T17:13:00.000000,1.0641,1.0641,1.064,1.064,2.0
2026-08-01T17:14:00.000000,1.064,1.0641,1.064,1.0641,2.0
2026-08-01T17:15:00.000000,1.0641,1.0641,1.064,1.064,2.0
2026-08-01T17:16:00.000000,1.064,1.064,1.0636,1.0636,5.0
2026-08-01T17:17:00.000000,1.0636,1.0636,1.0634,1.0634,3.0
2026-08-01T17:18:00.000000,1.0634,1.0634,1.0633,1.0633,2.0
2026-08-01T17:19:00.000000,1.0633,1.0633,1.0632,1.0632,2.0
