datetime,open,high,low,close,volume
2026-07-24T05:29:00.000000,57.577,57.645,57.576,57.641,127.0
2026-07-24T05:30:00.000000,57.64,57.695,57.631,57.675,192.0
2026-07-24T05:31:00.000000,57.673,57.749,57.658,57.747,152.0
2026-07-24T05:32:00.000000,57.744,57.746,57.679,57.713,142.0
2026-07-24T05:33:00.000000,57.715,57.719,57.675,57.699,146.0
2026-07-24T05:34:00.000000,57.696,57.729,57.609,57.631,167.0
2026-07-24T05:35:00.000000,57.629,57.631,57.531,57.574,215.0
2026-07-24T05:36:00.000000,57.573,57.602,57.547,57.591,138.0
2026-07-24T05:37:00.000000,57.592,57.678,57.592,57.671,122.0
2026-07-24T05:38:00.000000,57.669,57.672,57.601,57.616,154.0
2026-07-24T05:39:00.000000,57.617,57.649,57.59,57.644,154.0
2026-07-24T05:40:00.000000,57.65,57.688,57.62,57.64,182.0
2026-07-24T05:41:00.000000,57.627,57.63,57.598,57.615,134.0
2026-07-24T05:42:00.000000,57.617,57.643,57.616,57.625,94.0
2026-07-24T05:43:00.000000,57.629,57.676,57.627,57.664,113.0
2026-07-24T05:44:00.000000,57.666,57.688,57.644,57.667,128.0
2026-07-24T05:45:00.000000,57.663,57.665,57.608,57.653,97.0
2026-07-24T05:46:00.000000,57.652,57.653,57.632,57.632,54.0
2026-07-24T05:47:00.000000,57.637,57.693,57.627,57.664,72.0
2026-07-24T05:48:00.000000,57.655,57.672,57.646,57.659,60.0
2026-07-24T05:49:00.000000,57.661,57.685,57.656,57.667,36.0
2026-07-24T05:50:00.000000,57.665,57.68,57.647,57.68,61.0
2026-07-24T05:51:00.000000,57.679,57.691,57.632,57.636,62.0
2026-07-24T05:52:00.000000,57.632,57.644,57.598,57.598,83.0
2026-07-24T05:53:00.000000,57.597,57.663,57.595,57.651,80.0
2026-07-24T05:54:00.000000,57.653,57.701,57.642,57.7,78.0
2026-07-24T05:55:00.000000,57.699,57.718,57.691,57.705,52.0
2026-07-24T05:56:00.000000,57.7,57.703,57.677,57.703,52.0
2026-07-24T05:57:00.000000,57.705,57.764,57.699,57.764,56.0
