datetime,open,high,low,close,volume
2026-07-14T16:50:00.000000,1.0896,1.0937999999999999,1.0894,1.0937999999999999,40.0
2026-07-14T16:51:00.000000,1.094,1.1006,1.0939,1.1004,95.0
2026-07-14T16:52:00.000000,1.1004,1.1043,1.1002,1.1015,105.0
2026-07-14T16:53:00.000000,1.1015,1.105,1.1015,1.1036,100.0
2026-07-14T16:54:00.000000,1.1036,1.1039,1.1028,1.1038000000000001,44.0
2026-07-14T16:55:00.000000,1.1038000000000001,1.1044,1.1026,1.1028,42.0
2026-07-14T16:56:00.000000,1.1028,1.1036,1.1024,1.1027,35.0
2026-07-14T16:57:00.000000,1.1027,1.1042,1.1021,1.1038000000000001,38.0
2026-07-14T16:58:00.000000,1.1038000000000001,1.1038000000000001,1.1014,1.1014,32.0
2026-07-14T16:59:00.000000,1.1014,1.1038000000000001,1.1014,1.1038000000000001,35.0
2026-07-14T17:00:00.000000,1.1038000000000001,1.1046,1.1029,1.1037,82.0
2026-07-14T17:01:00.000000,1.1037,1.1039,1.1018,1.1036,64.0
2026-07-14T17:02:00.000000,1.1036,1.1046,1.1008,1.1008,67.0
2026-07-14T17:03:00.000000,1.1007,1.1028,1.1007,1.1022,54.0
2026-07-14T17:04:00.000000,1.1022,1.1022,1.0988,1.0988,44.0
2026-07-14T17:05:00.000000,1.0988,1.1002,1.0983,1.0984,45.0
2026-07-14T17:06:00.000000,1.0984,1.0997,1.098,1.0985,51.0
2026-07-14T17:07:00.000000,1.0985,1.1006,1.0977,1.1002,50.0
2026-07-14T17:08:00.000000,1.1002,1.1025,1.0996,1.1021,66.0
2026-07-14T17:09:00.000000,1.1021,1.1029,1.1006,1.1006,48.0
2026-07-14T17:10:00.000000,1.1006,1.1014,1.1005,1.1005,35.0
2026-07-14T17:11:00.000000,1.1005,1.1005,1.099,1.1004,45.0
2026-07-14T17:12:00.000000,1.1004,1.1009,1.0982,1.0984,58.0
2026-07-14T17:13:00.000000,1.0984,1.0985,1.097,1.0974,49.0
2026-07-14T17:14:00.000000,1.0974,1.0977999999999999,1.097,1.0977999999999999,31.0
2026-07-14T17:15:00.000000,1.0977999999999999,1.0985,1.0971,1.0982,40.0
2026-07-14T17:16:00.000000,1.0982,1.0992,1.0965,1.0965,54.0
2026-07-14T17:17:00.000000,1.0965,1.097,1.0956,1.0966,35.0
2026-07-14T17:18:00.000000,1.0966,1.0974,1.096,1.097,53.0
2026-07-14T17:19:00.000000,1.097,1.0988,1.097,1.0987,40.0
2026-07-14T17:20:00.000000,1.0987,1.0996,1.0987,1.0996,29.0
2026-07-14T17:21:00.000000,1.0996,1.1003,1.0994,1.0997,20.0
2026-07-14T17:22:00.000000,1.0997,1.1,1.0987,1.0988,42.0
2026-07-14T17:23:00.000000,1.0988,1.1007,1.0988,1.1,32.0
2026-07-14T17:24:00.000000,1.1,1.1006,1.0999,1.1001,13.0
2026-07-14T17:25:00.000000,1.1001,1.1005,1.0998,1.0998,19.0
2026-07-14T17:26:00.000000,1.0996,1.1003,1.0991,1.0991,22.0
2026-07-14T17:27:00.000000,1.0993,1.0995,1.0992,1.0995,7.0
2026-07-14T17:28:00.000000,1.0995,1.0997,1.0988,1.0988,13.0
2026-07-14T17:29:00.000000,1.0988,1.0993,1.0988,1.0991,6.0
2026-07-14T17:30:00.000000,1.0991,1.1004,1.0988,1.0991,31.0
2026-07-14T17:31:00.000000,1.0991,1.0994,1.0974,1.098,48.0
2026-07-14T17:32:00.000000,1.098,1.098,1.097,1.0971,36.0
2026-07-14T17:33:00.000000,1.0971,1.0979,1.0969,1.0979,25.0
2026-07-14T17:34:00.000000,1.0979,1.0982,1.0951,1.0956,49.0
2026-07-14T17:35:00.000000,1.0956,1.0968,1.0955,1.0967,40.0
2026-07-14T17:36:00.000000,1.0967,1.0973,1.0967,1.0973,26.0
2026-07-14T17:37:00.000000,1.0973,1.0975,1.097,1.0971,16.0
2026-07-14T17:38:00.000000,1.0971,1.0973,1.0962,1.0962,24.0
2026-07-14T17:39:00.000000,1.0962,1.0966,1.096,1.0966,8.0
2026-07-14T17:40:00.000000,1.0966,1.0969,1.0952,1.0956,35.0
2026-07-14T17:41:00.000000,1.0956,1.0973,1.0956,1.0973,37.0
2026-07-14T17:42:00.000000,1.0973,1.0977999999999999,1.0969,1.0977999999999999,35.0
2026-07-14T17:43:00.000000,1.0977999999999999,1.0979,1.0972,1.0977999999999999,20.0
2026-07-14T17:44:00.000000,1.0977999999999999,1.0988,1.0974,1.0987,18.0
2026-07-14T17:45:00.000000,1.0987,1.0987,1.0963,1.0967,49.0
2026-07-14T17:46:00.000000,1.0967,1.0967,1.095,1.0964,37.0
2026-07-14T17:47:00.000000,1.0964,1.0967,1.0959,1.0963,24.0
2026-07-14T17:48:00.000000,1.0963,1.0975,1.0963,1.0974,38.0
2026-07-14T17:49:00.000000,1.0974,1.0991,1.0968,1.0982,42.0
2026-07-14T17:50:00.000000,1.0982,1.0996,1.0977,1.0994,22.0
2026-07-14T17:51:00.000000,1.0994,1.0994,1.0983,1.0985,16.0
2026-07-14T17:52:00.000000,1.0985,1.099,1.0985,1.099,11.0
2026-07-14T17:53:00.000000,1.099,1.099,1.0981,1.0982,24.0
2026-07-14T17:54:00.000000,1.0982,1.0984,1.0981,1.0981,11.0
2026-07-14T17:55:00.000000,1.0981,1.0982,1.097,1.0979,26.0
2026-07-14T17:56:00.000000,1.0979,1.0997,1.097,1.0989,30.0
2026-07-14T17:57:00.000000,1.0989,1.0989,1.097,1.097,31.0
2026-07-14T17:58:00.000000,1.097,1.0977999999999999,1.0966,1.0971,25.0
2026-07-14T17:59:00.000000,1.0971,1.0974,1.0968,1.0974,14.0
2026-07-14T18:00:00.000000,1.0974,1.0974,1.0963,1.0967,17.0
2026-07-14T18:01:00.000000,1.0967,1.0972,1.0961,1.0965,31.0
2026-07-14T18:02:00.000000,1.0965,1.0965,1.0963,1.0963,3.0
2026-07-14T18:03:00.000000,1.0964,1.0971,1.0962,1.0963,32.0
2026-07-14T18:04:00.000000,1.0963,1.1007,1.0963,1.0984,67.0
2026-07-14T18:05:00.000000,1.0984,1.1002,1.0983,1.1,28.0
2026-07-14T18:06:00.000000,1.1,1.1,1.0995,1.0995,9.0
2026-07-14T18:07:00.000000,1.0995,1.0995,1.0984,1.0988,20.0
2026-07-14T18:08:00.000000,1.0988,1.1004,1.0988,1.1001,22.0
2026-07-14T18:09:00.000000,1.1001,1.1001,1.0988,1.0991,19.0
2026-07-14T18:10:00.000000,1.0991,1.0998,1.0989,1.0997,20.0
2026-07-14T18:11:00.000000,1.0997,1.0997,1.0991,1.0991,14.0
2026-07-14T18:12:00.000000,1.0991,1.0996,1.0989,1.0989,27.0
2026-07-14T18:13:00.000000,1.0989,1.099,1.0985,1.0987,18.0
2026-07-14T18:14:00.000000,1.0987,1.0991,1.0986,1.0991,12.0
2026-07-14T18:15:00.000000,1.0991,1.0991,1.0988,1.0989,9.0
2026-07-14T18:16:00.000000,1.0989,1.099,1.0981,1.0982,18.0
2026-07-14T18:17:00.000000,1.0982,1.0987,1.0982,1.0982,28.0
2026-07-14T18:18:00.000000,1.0982,1.0985,1.0976,1.0985,18.0
2026-07-14T18:19:00.000000,1.0985,1.0988,1.0983,1.0984,18.0
2026-07-14T18:20:00.000000,1.0984,1.0987,1.0976,1.0987,31.0
2026-07-14T18:21:00.000000,1.0987,1.0993,1.0987,1.0993,13.0
2026-07-14T18:22:00.000000,1.0993,1.1001,1.0993,1.1001,10.0
2026-07-14T18:23:00.000000,1.1001,1.1014,1.1001,1.1014,19.0
2026-07-14T18:24:00.000000,1.1014,1.1018,1.1014,1.1018,12.0
